Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$72 - $77 Per Hour,Data Scientist,"Data Scientist Roles and Responsibilities
1. Accomplish the assigned activities and deliverables within project scope and schedule;
2. Lead focus group sessions or other information gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
3. Work collaboratively with System Agency staff;
4. Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
5. Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;",Amer Technology In,-1,"Austin, TX",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$150K,Data Scientist,"Company description
Newsly is an audio news and content aggregator mobile application. It picks up the web articles about the most trending subjects on the web at any given moment and and reads it to you in a natural human voice using AI technology. For the first time in the history of the internet, the web becomes listenable!
Think of it as a new browser, but this time the audio is at the forefront.
It will give people suffering from dyslexia and people with visual impairments a new and better way to consume content. It is also meant for the general audio lovers who listen to spoken audio (podcasts, audio-books) an option to listen to topical content.
It is also targeting general audiophiles who consume spoken audio content (podcasts, audio-books) in a market growing at 30% a year. BTW, we got podcasts as well, so you don't have to switch to another app.",Newsly Technologies,-1,United States,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$87 - $96 Per Hour,Data Scientist,"We are looking for a Full time/contract employee for a Data Scientist.
Accomplish the assigned activities and deliverables within project scope and schedule;
Lead focus group sessions or other information-gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
Work collaboratively with System Agency staff;
Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;
Develop a proposed project plan that aligns with the timeframes and milestones identified within the grant. Propose adjustments to the plan when needed as the project progresses and impacts to the overall project completion timeframe or key milestones to HHSC early and clearly to mitigate project risk;","PMCS Services, Inc",-1,"Austin, TX",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$91K - $145K,Data Scientist,"What you'll do...
Data Scientists in Walmart Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club.
As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.",Sam's Club,3.3,"Dallas, TX",10000+ Employees,1983,Subsidiary or Business Segment,General Merchandise & Superstores,Retail,$10+ billion (USD)
Jr. Data Scientist,Employer Provided Salary:$53K - $110K,Data Scientist,"KesarWeb is an industry-leading software solutions provider as well as an IT training provider for over a decade now.
Position: Strictly W2 Only
Responsibilities:
Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third-party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software",KesarWeb,-1,"Point a la Hache, LA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$82 - $87 Per Hour,Data Scientist,"We are looking for a Full time contractor or employee for a Data Scientist role at one our client site.
NOTE: If you are interested and please apply to the applicant tracking system (ATS) link to be a qualified job applicant.
Apply to the below link is REQUIRED and will be _ considered as a valid job applicant._
https://app.unnanu.com/jobboard/apply/JID000001489?source=Indeed
Texas Health and Human Services Commission requires the services of 1 Data Scientist (Big Data Engineer) 2, hereafter referred to as Candidate(s), who meets the general qualifications of Data Scientist (Big Data Engineer) 2, Data/Database Administration and the specifications outlined in this document for the Texas Health and Human Services Commission.",IntegrateUs Services,-1,Remote,-1,-1,-1,-1,-1,-1
Junior Data Scientist,-1,Data Scientist,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.",Toyota,3.9,"Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$90K,Data Scientist,"Data Scientists in Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and space planning. Data Scientists work as a member in project teams to provide analytical support, prescriptive models, and optimization solutions in Sam’s Club. As a Data Scientist, you are responsible for building large data sets from multiple sources, build algorithms for predicting future data characteristics and suggest optimal decision to our business stakeholders. Those algorithms will be tested, validated, and converted into applications. You will have a unique opportunity to expand your domain knowledge on ML/AI use cases in retail, research new trends in the industry and put them into practice.
Key Responsibilities
Understands and translates business and functional needs into AI/ML problem statements.",Walmart,3.3,"Dallas, TX",10000+ Employees,1994,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
"Data Scientist, Analytics",-1,Data Scientist,"As a Data Scientist at Facebook, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Facebook, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Facebook. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.
#LI-REMOTE",Facebook,4.3,Remote,10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$82 Per Hour,Data Scientist,"NBI (commercial arm of NSI Inc) is looking for two data scientists to support one of our video game clients. The client is based in Europe (UK), but the person we hire for this position can work from anywhere. Please note, however, that only candidates who are currently authorized to work for any employer in the USA will be considered. The ideal candidate must be fluent in ensemble forecasting methods, and be able to program in R. 1-2 years of advanced, hands-on client-side experience with writing SQL queries (or similar) is a basic requirement. Video game experience is strongly preferred, as well as proven ability to work collaboratively in teams, and balancing multiple tasks. We are looking for people who will represent our brand with a great attitude, who like to have fun at work, can function well remotely, and are technically competent. Completed Master’s degree in statistics, data science, behavioral science, or related field is required.
Job Types: Full-time, Contract",NSI Inc.,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$19 - $24 Per Hour,Data Scientist,"NumberOne AI, Inc., headquartered in Newport Beach, California, is a fast-growing and innovative Artificial Intelligence and Machine Learning (AI/ML) company dedicated to solving the number one problems in the world through the commercial application of data science. We are market and problem agnostic in our search to solve the biggest challenges in the world with AI. We develop innovative software, hardware and cloud solutions that extend and improve the lives of people around the world. Innovation is our history and our passion.
To learn more about us, please visit: www.numberone.ai
Job Summary:
As a Data Scientist, you will work on projects critical to NumberOne’s needs with opportunities of both personal and professional growth. We need our engineers to be hard working, authentic, adaptable, approachable and be enthusiastic to take on new problems across the full-stack as the company grows.",NumberOne AI,-1,"Tustin, CA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$101K - $165K,Data Scientist,"Your Opportunity

Are you all about leveraging data to provide customers better products and grow business? Then we want you!

This is a great opportunity to apply your craft as a data scientist while working with business partners to drive data-driven solutions. Our large client base and multi-channel transaction volume offers a fertile data environment to uncover new insights and answers to key business questions. Our dynamic business generates many questions that provide lots of opportunity to get deep in data and have real impact.

We are looking for qualified candidates to design, develop, implement and monitor scalable machine learning solutions for dynamic financial products, deliver insights from complex data structures with clear narratives and creative visualizations. People who can work collaboratively and partner closely with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.",Charles Schwab,3.9,"Austin, TX",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
